Index;P_el;Q_Heiz;Q_WW;Q_gesamt
342;963.023;9986.99;0;9986.99
343;249.846;9867.84;0;9867.84
344;96.519;9748.7;0;9748.7
345;966.172;9629.55;0;9629.55
346;967.839;9893.21;0;9893.21
347;258.32;10156.9;0;10156.9
348;966.672;10420.5;0;10420.5
349;968.528;10684.2;0;10684.2
350;969.528;10764.1;0;10764.1
351;974.362;10844.1;0;10844.1
352;261.442;10924;0;10924
353;127.537;11004;0;11004
354;142.77;10909.6;0;10909.6
355;157.637;10815.2;0;10815.2
356;331.275;10720.9;0;10720.9
357;187.724;10626.5;0;10626.5
358;202.574;10808.3;0;10808.3
359;217.307;10990;0;10990
360;392.474;11171.8;0;11171.8
361;227.86;11353.6;0;11353.6
362;227.644;11541.7;0;11541.7
363;228.127;11729.8;0;11729.8
364;390.118;11918;0;11918
365;217.286;12106.1;0;12106.1
366;217.286;12143.2;0;12143.2
367;217.22;12180.3;0;12180.3
368;367.227;12217.4;0;12217.4
369;217.375;12254.4;0;12254.4
370;217.509;12358.8;0;12358.8
371;217.559;12463.2;0;12463.2
372;385.528;12567.6;0;12567.6
373;217.436;12672;0;12672
374;217.552;12640.1;0;12640.1
375;217.436;12608.3;0;12608.3
376;217.552;12576.4;0;12576.4
377;367.042;12544.6;0;12544.6
378;217.546;12695.5;0;12695.5
379;476.863;12846.5;0;12846.5
380;601.752;12997.4;0;12997.4
381;217.564;13148.4;0;13148.4
382;217.714;13269.6;0;13269.6
383;392.79;13390.9;0;13390.9
384;217.681;13512.2;0;13512.2
385;217.81;13633.5;0;13633.5
386;977.264;13663.1;0;13663.1
387;264.001;13692.7;0;13692.7
388;975.431;13722.4;0;13722.4
389;971.493;13752;0;13752
390;97.466;13795.2;0;13795.2
391;258.895;13838.5;0;13838.5
392;130.755;13881.7;0;13881.7
393;976.229;13925;0;13925
394;976.729;13964.7;0;13964.7
395;975.395;14004.4;0;14004.4
396;246.422;14044.1;0;14044.1
397;976.586;14083.8;0;14083.8
398;974.753;14109.3;0;14109.3
399;977.086;14134.8;0;14134.8
400;256.312;14160.4;0;14160.4
401;977.264;14185.9;0;14185.9
402;978.598;14237.1;0;14237.1
403;978.931;14288.3;0;14288.3
404;977.264;14339.6;0;14339.6
405;246.124;14390.8;0;14390.8
406;978.672;14420.3;0;14420.3
407;979.838;14449.8;0;14449.8
408;979.505;14479.3;0;14479.3
409;261.745;14508.9;0;14508.9
410;979.314;14531;0;14531
411;976.814;14553.1;0;14553.1
412;217.931;14575.2;0;14575.2
413;335.423;14597.3;0;14597.3
414;422.139;14605.6;0;14605.6
415;343.495;14613.8;0;14613.8
416;218.02;14622.1;0;14622.1
417;217.986;14630.4;0;14630.4
418;371.766;14457.2;0;14457.2
419;979.192;14283.9;0;14283.9
420;979.192;14110.7;0;14110.7
421;977.442;13937.4;0;13937.4
422;976.109;13699.3;0;13699.3
423;247.496;13461.3;0;13461.3
424;976.275;13223.2;0;13223.2
425;974.542;12985.2;0;12985.2
426;126.288;12473.2;0;12473.2
427;281.321;11961.3;0;11961.3
428;975.542;11449.3;0;11449.3
429;966.252;10937.4;0;10937.4
430;967.419;10530.3;0;10530.3
431;399.344;10123.2;0;10123.2
432;2293.12;9716.06;0;9716.06
433;697.801;9308.95;0;9308.95
434;957.692;9202.42;0;9202.42
435;957.692;9095.88;0;9095.88
436;258.354;8989.35;0;8989.35
437;961.666;8882.82;0;8882.82
438;95.95;8834.78;0;8834.78
439;961.666;8786.75;0;8786.75
440;961.666;8738.71;0;8738.71
441;244.942;8690.68;0;8690.68
442;962.379;8855.52;0;8855.52
443;959.379;9020.36;0;9020.36
444;230.68;9185.2;0;9185.2
445;384.447;9350.03;0;9350.03
446;239.962;9605.87;0;9605.87
447;962.789;9861.7;0;9861.7
448;107.312;10117.5;0;10117.5
449;283.691;10373.4;0;10373.4
450;107.65;10750.6;0;10750.6
451;108.166;11127.9;0;11127.9
452;970.496;11505.1;0;11505.1
453;228.546;11882.4;0;11882.4
454;968.491;11813.6;0;11813.6
455;971.658;11744.9;0;11744.9
456;968.325;11676.2;0;11676.2
457;247.174;11607.4;0;11607.4
458;968.731;11636.8;0;11636.8
459;972.231;11666.2;0;11666.2
460;970.065;11695.6;0;11695.6
461;772.835;11724.9;0;11724.9
462;972.666;11982.1;27735.4;39717.5
463;971.999;12239.2;0;12239.2
464;217.183;12496.4;0;12496.4
465;217.22;12753.5;0;12753.5
466;513.483;12523.1;0;12523.1
467;372.153;12292.7;0;12292.7
468;369.67;12062.3;0;12062.3
469;530.924;11831.9;0;11831.9
470;375.125;11889.7;0;11889.7
471;363.017;11947.5;0;11947.5
472;547.455;12005.2;0;12005.2
473;377.728;12063;0;12063
474;374.236;11856.3;0;11856.3
475;359.395;11649.5;0;11649.5
476;553.706;11442.7;0;11442.7
477;228.08;11236;0;11236
478;217.064;11332;0;11332
